
filename,current_aspect,expected_aspect
100000023.png,40/33,1
100000143.png,200/169,1
162.png,200/261,1
002.png,53/72,1
100000037.png,160/99,1
016.png,765/883,1
176.png,80/69,1
100000585.png,80/83,1
003.png,845/983,1
017.png,604/845,1
100000036.png,100/91,1
100000022.png,320/249,1
100000963.png,467/313,1
100000168.png,800/699,1
149.png,800/903,1
015.png,405/623,1
001.png,53/72,1
175.png,800/751,1
029.png,4/5,1
100000142.png,400/493,1
100000426.png,1484/1383,1
163.png,100/101,1
177.png,50/57,1
100000034.png,800/869,1
100000021.png,320/249,1
100000154.png,865/1158,1
100000020.png,682/885,1
100000035.png,725/656,1
161.png,400/377,1
100000156.png,655/664,1
AF9.png,2341/2000,1
148.png,800/431,1
160.png,100/91,1
100000592.png,2300/2299,1
100000141.png,40/33,1
028.png,673/902,1
100000169.png,800/909,1
819.png,799/800,1
100000145.png,800/869,1
616.png,80/83,1
014.png,55/76,1
100000155.png,983/737,1
174.png,400/203,1
004.png,386/205,1
AFY.png,2614/1265,1
158.png,453/653,1
AHA.png,2311/1654,1
164.png,800/797,1
170.png,1060/1147,1
AH7.png,1595/1251,1
400.png,3657/3658,1
AHE.png,4761/3209,1
038.png,800/517,1
100000019.png,50/57,1
100000025.png,641/820,1
574.png,416/471,1
100000031.png,859/686,1
100000018.png,800/1049,1
159.png,800/1009,1
100000152.png,211/240,1
171.png,4/5,1
100000146.png,160/99,1
011.png,307/249,1
100000144.png,800/329,1
100000150.png,400/379,1
100000024.png,800/699,1
100000178.png,100/109,1
100000030.png,200/169,1
100000756.png,3/4,1
100000622.png,2300/2299,1
100000185.png,842/475,1
165.png,50/69,1
039.png,800/431,1
005.png,702/635,1
401.png,2918/2919,1
100001258.png,4761/3209,1
173.png,200/133,1
167.png,16/21,1
100000032.png,100/101,1
006.png,362/277,1
AED.png,2000/1999,1
012.png,769/624,1
AHB.png,704/545,1
100000999.png,2279/2717,1
100000026.png,641/820,1
100000033.png,703/894,1
007.png,756/583,1
100000027.png,437/126,1
013.png,16/21,1
172.png,400/261,1
166.png,400/539,1
947.png,2000/2409,1
826.png,3960/3887,1
AGM.png,4761/3209,1
100000120.png,41/37,1
100000134.png,418/201,1
101.png,835/571,1
100000108.png,677/923,1
100000041.png,802/745,1
100000147.png,800/517,1
100000153.png,755/713,1
100001000.png,747/646,1
100000054.png,743/960,1
100000055.png,681/575,1
049.png,77/67,1
100000096.png,178/141,1
100000083.png,674/615,1
100000082.png,47/43,1
100000069.png,869/659,1
100000097.png,744/619,1
061.png,178/217,1
100000040.png,400/203,1
115.png,171/82,1
tshirts__58917.jpg,386/483,1
100000068.png,84/121,1
713.png,3397/3174,1
539.png,2654/2695,1
102.png,189/127,1
048.png,379/376,1
100.png,816/623,1
074.png,830/263,1
116.png,347/492,1
100000109.png,641/784,1
100001001.png,37/32,1
060.png,178/217,1
100000137.png,838/317,1
062.png,929/664,1
128.png,317/459,1
100000135.png,202/201,1
100000121.png,41/37,1
114.png,148/71,1
100000123.png,32/35,1
100000043.png,817/762,1
100000081.png,398/231,1
100000080.png,398/231,1
117.png,729/901,1
089.png,473/542,1
100000057.png,59/49,1
088.png,158/181,1
100000126.png,647/577,1
100000042.png,800/903,1
100001238.png,313/194,1
113.png,362/291,1
100000132.png,391/252,1
100000136.png,144/173,1
100000122.png,426/449,1
100001012.png,2311/1654,1
100000053.png,153/166,1
099.png,335/227,1
714.png,313/194,1
098.png,231/256,1
715.png,1000/509,1
701.png,649/519,1
073.png,143/207,1
100000046.png,751/424,1
112.png,788/453,1
067.png,201/290,1
066.png,84/121,1
106.png,144/155,1
100001239.png,1000/509,1
072.png,833/326,1
100000127.png,619/918,1
100000133.png,848/353,1
100000131.png,815/409,1
100000084.png,743/1035,1
100000090.png,677/905,1
100000085.png,1017/1468,1
100001013.png,704/545,1
100000125.png,647/577,1
110.png,727/880,1
064.png,697/481,1
100000079.png,790/629,1
100001005.png,1595/1251,1
058.png,794/501,1
100000087.png,95/37,1
100000078.png,727/553,1
100000044.png,780/841,1
100000050.png,339/449,1
100000736.png,1139/933,1
100000045.png,41/25,1
100000051.png,34/45,1
878.png,151/160,1
AA9.png,2376/2377,1
065.png,177/154,1
100000119.png,32/35,1
100000061.png,178/217,1
100000101.png,835/571,1
054.png,743/960,1
100000115.png,171/82,1
100000130.png,814/409,1
139.png,800/1049,1
AAB.png,2973/1997,1
100000713.png,3397/3174,1
108.png,677/923,1
100001010.png,2973/1997,1
663.png,1704/1705,1
100001237.png,3397/3174,1
083.png,674/615,1
134.png,418/201,1
111.png,727/880,1
097.png,744/619,1
120.png,41/37,1
040.png,400/203,1
100000124.png,674/863,1
068.png,84/121,1
100000049.png,77/67,1
100000539.png,2654/2695,1
100000074.png,830/263,1
121.png,41/37,1
100000116.png,347/492,1
082.png,47/43,1
100000100.png,816/623,1
100000060.png,178/217,1
100000114.png,148/71,1
100000128.png,317/459,1
100000048.png,379/376,1
055.png,681/575,1
096.png,178/141,1
135.png,202/201,1
041.png,802/745,1
100000102.png,189/127,1
069.png,869/659,1
100001008.png,2376/2377,1
109.png,641/784,1
137.png,838/317,1
123.png,32/35,1
043.png,817/762,1
057.png,59/49,1
100000113.png,362/291,1
100000062.png,929/664,1
100000088.png,158/181,1
042.png,800/903,1
100000089.png,473/542,1
080.png,398/231,1
081.png,398/231,1
100001235.png,649/519,1
100000117.png,729/901,1
AA6.png,1595/1251,1
full color b&s.png,842/475,1
122.png,426/449,1
136.png,144/173,1
AAV.png,191/200,1
100001231.png,4761/3209,1
100000705.png,7/8,1
126.png,647/577,1
132.png,391/252,1
AA2.png,37/32,1
127.png,619/918,1
100000066.png,84/121,1
100000701.png,649/519,1
AAD.png,2311/1654,1
046.png,751/424,1
100000099.png,335/227,1
100000715.png,1000/509,1
ABI.png,827/800,1
100000073.png,143/207,1
085.png,1017/1468,1
100000067.png,201/290,1
100000098.png,231/256,1
100000714.png,313/194,1
ACM.png,957/980,1
053.png,153/166,1
133.png,848/353,1
100000112.png,788/453,1
100000072.png,833/326,1
090.png,677/905,1
084.png,743/1035,1
AAE.png,704/545,1
131.png,815/409,1
100000110.png,727/880,1
100000064.png,697/481,1
100000106.png,144/155,1
100000065.png,177/154,1
045.png,41/25,1
125.png,647/577,1
100000058.png,794/501,1
051.png,34/45,1
087.png,95/37,1
050.png,339/449,1
079.png,790/629,1
044.png,780/841,1
078.png,727/553,1
736.png,1139/933,1
AA1.png,747/646,1
ACY.png,486/461,1
119.png,32/35,1
100001030.png,191/200,1
100000111.png,727/880,1
100001254.png,2311/1654,1
100000162.png,200/261,1
AH8.png,2376/2377,1
130.png,814/409,1
037.png,160/99,1
100000663.png,1704/1705,1
100000176.png,80/69,1
AHN.png,1158/863,1
100000878.png,151/160,1
124.png,674/863,1
023.png,40/33,1
100000139.png,800/1049,1
100000002.png,53/72,1
Capture__88275.png,193/203,1
143.png,200/169,1
100000016.png,765/883,1
022.png,320/249,1
100000175.png,800/751,1
585.png,80/83,1
AGU.png,1000/509,1
100000163.png,100/101,1
426.png,1484/1383,1
034.png,800/869,1
156.png,655/664,1
100000177.png,50/57,1
100000017.png,604/845,1
100001255.png,704/545,1
100001241.png,3/4,1
168.png,800/699,1
100000161.png,400/377,1
100000149.png,800/903,1
142.png,400/493,1
100000003.png,845/983,1
AGW.png,3/4,1
AH9.png,2973/1997,1
036.png,100/91,1
154.png,865/1158,1
963.png,467/313,1
100000001.png,53/72,1
020.png,682/885,1
100000015.png,405/623,1
100000029.png,4/5,1
100000148.png,800/431,1
100000164.png,800/797,1
100000170.png,1060/1147,1
100000158.png,453/653,1
100000174.png,400/203,1
100000160.png,100/91,1
592.png,2300/2299,1
141.png,40/33,1
169.png,800/909,1
100000014.png,55/76,1
AGT.png,313/194,1
155.png,983/737,1
100000028.png,673/902,1
021.png,320/249,1
035.png,725/656,1
AHL.png,2231/2000,1
100001252.png,2376/2377,1
100000819.png,799/800,1
145.png,800/869,1
100000574.png,416/471,1
025.png,641/820,1
031.png,859/686,1
019.png,50/57,1
100000004.png,386/205,1
100000039.png,800/431,1
100000011.png,307/249,1
030.png,200/169,1
100000005.png,702/635,1
024.png,800/699,1
018.png,800/1049,1
100000038.png,800/517,1
AGQ.png,649/519,1
AE8.png,2000/1999,1
756.png,3/4,1
100000400.png,3657/3658,1
569.png,3257/3391,1
146.png,160/99,1
100000167.png,16/21,1
178.png,100/109,1
150.png,400/379,1
100001251.png,1595/1251,1
032.png,100/101,1
152.png,211/240,1
100000171.png,4/5,1
100000013.png,16/21,1
100000159.png,800/1009,1
100001253.png,2973/1997,1
100000165.png,50/69,1
100000007.png,756/583,1
100000012.png,769/624,1
100000006.png,362/277,1
144.png,800/329,1
100000173.png,200/133,1
185.png,842/475,1
622.png,2300/2299,1
026.png,641/820,1
100000401.png,2918/2919,1
AGS.png,3397/3174,1
100000826.png,3960/3887,1
100000172.png,400/261,1
027.png,437/126,1
100000166.png,400/539,1
033.png,703/894,1
147.png,800/517,1
100001052.png,827/800,1
153.png,755/713,1
AFV.png,1369/1000,1
999.png,2279/2717,1
